Species_code,Scientific_name,Source,Notes
ULMUrubr,Ulmus_rubra,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ULMUalat,Ulmus_alata,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ULMUthom,Ulmus_thomasii,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ULMUcras,Ulmus_crassifolia,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
MACLpomi,Maclura_pomifera,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ASIMtril,Asimina_triloba,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ARBUmenz,Arbutus_menziesii,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CERCledi,Cercocarpus_ledifolius,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CHRYchry,Chrysolepis_chrysophylla,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
LITHdens,Lithocarpus_densiflorus,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PROSglan,Prosopis_glandulosa,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
PROSvelu,Prosopis_velutina,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
UMBEcali,Umbellularia_californica,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CRATcrus,Crataegus_crus_galli,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ELAEangu,Elaeagnus_angustifolia,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
ILEXopac,Ilex_opaca,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
MALUcoro,Malus_coronaria,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
OLNEteso,Olneya_tesota,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
CHILline,Chilopsis_linearis,Literature+Derived,"Silvics/Niinemets/Zanne + JABOWA-derived g, genus defaults for fire/stress/old"
